N_Workers,Staff,Infrastructure,Marketing,Profit
2781.449402577175,245218.21640062533,306029.3015563469,39743755.342489764,2629105229001.8096
13705.482482237932,104371.10009420368,222534.24831027555,27972234.650314286,1302340406077.281
15577.889796234895,152031.26717047766,202747.13129273048,41273405.99082391,2835376605515.041
15136.094698599843,156705.71837722362,64191.261780174704,54273587.02121182,4902833538544.8125
9718.734476070867,261375.96675992745,152201.35994811027,19628635.885730486,641284289365.6128
6521.8212510803,38634.72545989131,126293.22438188405,25290298.331994217,1064579382037.7697
61.24079510880525,226917.075914527,76991.03719938913,56446428.91046296,5303261516925.326
4102.903761163694,202967.30532385883,46171.94435838035,11528587.27283639,221219168866.9957
19253.439665986476,254614.81970521418,350311.7777534005,42294667.05861545,2977428822580.722
9262.75894422049,192079.95940064726,308432.4679081782,26159793.889088485,1139039817897.0093
12163.848624449658,204018.45756194362,60106.18116781773,24842571.661165453,1027219595096.9775
17818.03120180457,303222.257695029,135727.54967250218,17898037.984572038,533189144679.2625
17949.502722769805,329080.45037483465,206877.86252169946,48509995.16357921,3916810858119.6646
14676.82795056523,321945.98785358004,62225.0672885417,39377913.463662215,2580925946037.746
7886.389157924421,295566.91249819106,144410.8479866275,37802868.3125753,2378590415670.2583
19861.39277390868,247045.56886251637,398075.8619466997,57457190.26214404,5494888669011.15
11082.988473998075,35753.099605930285,344953.31693842297,30595381.72104418,1558051960791.4097
17488.89034467319,107721.31149107136,210984.13057541405,17012566.087445416,481737028737.105
19591.4573962418,77343.01956307249,169362.1852142766,23413344.075504147,912424834868.4751
1673.590290784774,338762.40024017333,44896.920845837645,38165067.893596455,2424388546655.859
17608.076373777112,209199.6591882454,42364.495488141176,50594928.111549705,4260730546490.612
5375.45656139974,129274.38237212584,42271.6508190758,35646946.83870683,2115021513342.2468
6469.312997754708,163803.5078123712,189783.77478766974,40669054.05990371,2752949691160.741
8699.925224599696,102636.31562564758,59965.99523109096,58419287.33403734,5680448128387.482
3881.2928118826762,254174.6442951504,194973.60668642976,13150567.635032209,287845707895.6501
14374.283825214738,153908.49092860371,378102.23676137667,25975945.12559318,1123085974427.3352
12554.875924279295,340492.99899036286,225573.0591969839,40611576.81350308,2745173966235.883
19814.880908619467,285226.46749159053,137215.9776355756,49889226.23431986,4142701664393.06
10699.4723855528,325253.83499201597,73668.25518600226,54432435.15085827,4931574970960.429
1962.336239737247,50617.446949341786,66641.57353370472,51184761.354778655,4360652241301.322
4135.335870368011,85532.66942064532,237350.45760084598,19156262.159106843,610789907425.3018
5352.3679652516985,108844.51464295758,218661.18380629952,37338135.39169886,2320466968225.6353
8832.594589338201,140947.5130543927,274637.5683535258,59017770.101285875,5797432494537.904
14739.286023689005,161467.91413066228,373414.02809455944,38770290.55633422,2501890412841.232
3185.073765360764,147095.36288067125,46117.75029864748,21357654.467554744,759236888068.3953
11994.464362559229,239296.59553984186,210087.91629255575,28347146.502728127,1337485006730.3933
15168.202740927682,239705.5812753523,332656.59404146933,54317386.72246585,4910750421681.359
19582.288921349387,272771.9552616931,390609.97404888424,11569222.461759856,222781822061.56973
9876.586394702586,348645.81132987293,340171.9097931728,14298842.68434673,340308458534.01465
4214.746310723123,256957.89982816612,287657.06015884585,48989578.976190306,3994639111187.208
9123.58990350127,145896.87947305373,70635.77195225914,6511392.794670709,70569859688.34792
11861.118445033711,137869.2168148785,250466.15146817162,8429891.663922457,118281148308.12009
17133.359437501036,45754.48451152755,199143.6714690268,39686216.86723312,2621497947173.0913
19051.26118285015,236757.34015585782,306962.79456936114,15088255.82760086,378921108575.5426
13053.786612325952,317656.44979051256,176338.0125695189,38848913.79406256,2512047948756.812
9725.078130706695,46472.8509259224,293351.9960535338,36615472.687305525,2231513066119.1943
7828.3830117372545,249846.75759373262,223528.52610704282,32907801.66915996,1802469540286.1687
9199.601221154075,163888.40584177838,96498.7071136953,52271379.282002896,4547765069924.6
10133.586665957831,56844.17540326172,198997.67392120106,44632582.51881221,3315691714541.6504
5341.511124495987,330582.5760468726,270180.3820004389,42080696.876448065,2947379184013.1006
4547.530527574222,295988.99430284376,330840.55360419705,25387998.466531552,1072820981138.4109
13723.858118122977,97290.58345550983,147128.8234904444,31098345.29757914,1609699126730.9192
18376.03931995559,310823.858899956,284554.2278614708,14694124.543840274,359383596626.77783
11191.826650468933,292766.0707295705,143363.1900797697,32273274.086439364,1733629309269.2207
17555.9659703749,48572.06693801371,231001.41953360097,29356578.920793425,1434435593289.194
7593.847098905662,183724.63759229422,215449.5498798732,42825708.85005204,3052665750492.1113
17841.898720198053,319864.26974155405,251050.16038863015,29871612.374414098,1485209020592.6296
7019.952699610355,102760.94899550788,111835.18286011368,59345169.903908156,5861932962834.006
18853.486485980695,295633.71922382404,393918.0644868785,37159375.02438247,2298301560939.7236
4361.823010179462,207311.85552574502,271712.12201102835,59236598.40567755,5840504129649.982
9372.234053153557,51330.56829709969,224813.85302851174,34694752.34355852,2003538634685.862
5818.089519475945,212664.79362253635,257271.71525898948,33066721.37664852,1819920686475.145
17228.786590760632,101756.14690213042,299838.3992487625,22134983.13366615,815508871432.662
11168.329220538668,311446.0172328862,266908.89001189254,40876438.611100376,2781097849055.6226
2522.765687732686,69821.21426094451,359910.22444106353,15160218.660571123,382544090437.1753
11690.121782904776,104952.64092208447,161490.13774706848,46214218.4854711,3554850461593.052
10079.363583978196,110782.16052561322,259443.80993872037,59789008.47210667,5949943013590.359
18240.946370929625,313560.7097515259,365327.7175311892,28987343.983951587,1398579444206.4944
18781.78843910467,50076.71272215883,265830.0248859441,35043155.95519753,2043979661087.1548
13966.10295031276,231925.47273454606,210293.98127958862,31279965.324842613,1628556099866.2432
16960.79971993422,278667.2212499909,395318.8147806603,39163175.597715385,2552854091242.259
8476.42857726483,333522.3307384594,305517.08064341056,6771217.883125311,76314548349.32202
18186.953754962095,46244.38393154297,336152.4656349136,14589611.572889581,354289291808.49316
12461.010756477297,38591.95396451809,196517.78071521778,50400219.182859205,4227999737717.6323
8930.395918811397,192969.79915980686,349112.3294830145,43851753.98294804,3200693506040.819
10215.632746891184,268863.71161067206,307233.33592280146,34144670.015721105,1940510723600.4365
7438.06705081388,254021.14636250364,202126.88704875257,33068247.55224969,1820088672935.081
14299.740577641076,326471.65469257184,282465.8887111224,32413667.365442112,1748745350396.9495
4240.082904977268,126835.67211369892,233197.1908577654,32099693.003752638,1715030808572.4897
12511.327509813867,125990.03128642311,388534.7380279322,29961493.24347875,1494160109890.6624
18389.011033182996,240815.49063656188,141656.2003036313,55911101.57116726,5203148335117.331
17599.75798469311,72922.52367192556,197997.8192829756,22077258.193160444,811260823352.774
9546.475837279497,198762.56143241015,311523.57193325245,39814239.05946288,2638438655458.541
7332.636160990908,111571.12331129733,295005.4718175917,30758827.362985123,1574743191449.0486
9431.37544140822,44185.8976368492,270771.36885812733,6295373.208210753,65965244213.30531
7447.30647191111,53857.66329255312,351416.38652627845,31438772.206538312,1645134230721.699
19160.269791975486,348423.4165568042,84300.20769182807,59192287.1261462,5831769518501.958
17581.04431348322,180326.89564700093,63160.90760618498,35922158.29722271,2147805615147.953
19413.620332308932,200692.61729943752,143118.52008303214,59101081.3626087,5813811645231.571
18211.663889670584,79478.21756770991,106595.29136786335,19874248.367613267,657433207243.859
2837.1742149544934,37737.37123006982,153068.76266738845,39798107.1443067,2636300680110.8784
5229.000106504069,95257.79788044727,222895.57928571434,9607624.794715831,153639561391.76212
11144.303480993134,168833.8390127614,106291.85394852253,52267469.516285025,4547084789658.452
5727.276499217086,301150.3410853048,380320.1513204092,59303868.76015824,5853777068559.408
10089.036135158607,303231.4212438407,182626.25109005327,40060139.42195243,2671130273753.411
8084.8686720366595,176115.08913391616,320838.60022276326,45462962.06787151,3440215085572.3857
10522.035677086464,70918.08750574265,49942.67033262244,30738171.64545243,1572628620239.8103
6758.985914288487,97185.77482564644,85397.45964459119,14256781.334529286,338308801227.3447
12146.579323568425,274569.0268964035,110070.75375034103,6521671.630825687,70793008071.8403
19969.04477052434,328047.36840481963,61939.91437697278,15919880.173265563,421842262038.7743
2331.953234119969,246293.53386910685,295469.5332252631,52686246.13449119,4620241109581.352
18679.534232538106,177424.04938350513,372976.11736873747,7325082.447345635,89309545212.20952
13123.792170923583,155397.18600961915,92219.36575320893,47610520.884602204,3772905884746.9062
12082.928962035601,230009.3565048917,355931.76379686873,37582879.52004021,2350987337401.3096
2580.659561850786,250739.30789908543,114633.51038778237,41908150.16936925,2923257775773.725
10936.732890106898,199579.40589448664,366991.466375888,6948078.261738481,80353093371.85754
4750.907237103734,314400.9600823156,269804.3642933982,51776085.03103754,4461989572213.9375
5645.84088542002,175818.36507301783,49158.686412464755,20111493.597822312,673222891633.6245
4912.6640901601695,58100.97761491133,198433.5992583427,49340273.03132296,4052035119645.4707
6853.8828571455515,286968.6977378023,320207.48646252335,10758765.011037162,192662106311.55417
15909.918435489424,188138.38417447676,156519.411423317,31569374.419912856,1658830921926.9822
12972.779138628086,62986.80675501902,195217.1283700267,33572817.48895277,1876055654243.5144
384.7873486076541,103237.20864571238,382965.9083714541,42377468.510963246,2989098085452.221
10266.145548527335,343420.6895653793,337072.80561436905,45343720.92737505,3422192813828.332
4810.534622422502,108780.03382425864,104444.11204084597,10935546.877574047,199045133999.4266
19298.968283526145,122964.4043205152,152448.08261452243,35816177.55520685,2135151051479.2698
19342.33758650357,147786.55426408845,364726.10068113887,8229766.141754892,112731974511.40932
8855.702987739789,339060.4958947494,336655.4811417919,45514567.69162953,3448029766056.245
6372.869885713039,76955.00767525412,178777.8403112647,7400065.436852919,91147013886.18588
6022.604130528944,74021.97632481199,160992.75242250538,6833607.53809643,77726925432.68633
6025.723153894644,261011.39118036238,377601.85151833936,10091399.943244644,169501897659.13568
11393.231253117676,333404.2704624402,115802.02287927743,27682267.122667182,1275479676729.1858
10770.927251495588,311875.8092584397,259434.7913275063,58382045.354710326,5673208338072.63
220.08932584551778,196599.6538281443,73763.57704590142,47302323.25921772,3724217623645.1206
3784.360458129921,146002.96732408632,387342.06943853135,21475517.86603331,767640130362.2797
15000.950070704908,247783.00989357755,296186.6438732344,47797810.86002279,3802648233755.0796
18550.126165821384,263010.96309901704,62703.962969547676,35490766.13599622,2096529107447.4363
16789.390054934483,298339.10104213795,105850.75461673911,39894818.61805272,2649129170259.0825
13812.144364351574,197185.08603664537,56133.339923870546,25847084.621576138,1111970612395.0806
14326.571073045725,300699.93234666885,195129.1803491082,9988780.009156797,166071958343.6506
10528.54207144151,198331.66081541986,350525.645586855,47788559.29284765,3801176323843.264
8146.182946031732,199027.41886758615,138805.68969566445,52291589.00607323,4551282437823.631
8276.987594083528,183593.93625376117,393347.2963574804,34054431.533803925,1930267407938.8247
3625.167540845586,195259.0907975381,171679.9598230487,16326021.05610226,443640456323.69604
821.3369626617208,294011.525598075,79423.37707618778,52723987.741196275,4626862696715.985
7206.179661353999,56443.94861911803,330080.50796708383,22342994.95418399,830908222496.7666
1983.2364903395185,317506.23091284314,49619.776807793714,8084699.075930192,108792578077.86356
9128.219518633026,96145.98361426857,375271.5056585675,25039230.741679758,1043547544685.3236
2415.6969717670913,133461.57154252662,186499.98103131354,27587166.256426137,1266730918348.7825
